web-scraper-order,web-scraper-start-url,champion,champion-href,Counters,Countered
"1515286908-1982","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Fiora","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Fiora/","Ornn",""
"1515287063-2417","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Amumu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Amumu/","MasterYi",""
"1515286857-1848","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Hecarim","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Hecarim/","","Warwick"
"1515286400-900","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Rengar","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Rengar/","","Shaco"
"1515286120-307","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Vel'Koz","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Velkoz/","Ryze",""
"1515286055-115","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Yorick","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Yorick/","Vladimir",""
"1515286648-1458","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kog'Maw","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/KogMaw/","","Ashe"
"1515286873-1882","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Gragas","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Gragas/","","Shaco"
"1515286721-1633","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Karma","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Karma/","","Leona"
"1515286231-490","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Tristana","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Tristana/","Caitlyn",""
"1515286394-875","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Riven","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Riven/","","Malphite"
"1515286925-2044","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Evelynn","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Evelynn/","","Maokai"
"1515286950-2142","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Diana","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Diana/","","Jax"
"1515286434-928","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Rek'Sai","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/RekSai/","","Warwick"
"1515286946-2123","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Dr. Mundo","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/DrMundo/","","Darius"
"1515286695-1555","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kayle","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Kayle/","Heimerdinger",""
"1515286364-795","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Shaco","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Shaco/","MasterYi",""
"1515286637-1407","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lee Sin","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/LeeSin/","Gragas",""
